time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,3,3,0,0
2026-04-12 00:00:00+00:00,16,6,0,0
2026-04-13 00:00:00+00:00,17,5,4,3
2026-04-14 00:00:00+00:00,1,1,0,0
2026-04-15 00:00:00+00:00,15,6,0,0
2026-04-16 00:00:00+00:00,74,18,18,1
2026-04-17 00:00:00+00:00,29,8,1,1
2026-04-18 00:00:00+00:00,33,12,0,0
2026-04-19 00:00:00+00:00,19,10,0,0
2026-04-20 00:00:00+00:00,46,18,0,0
2026-04-21 00:00:00+00:00,68,24,0,0
2026-04-22 00:00:00+00:00,99,31,0,0
2026-04-23 00:00:00+00:00,89,28,0,0
2026-04-24 00:00:00+00:00,73,27,1,1
